Date,Anadarko Petroleum
7/1/2015,155
7/2/2015,138
7/3/2015,118
7/4/2015,125
7/5/2015,75
7/6/2015,131
7/7/2015,175
7/8/2015,136
7/9/2015,152
7/10/2015,135
7/11/2015,79
7/12/2015,72
7/13/2015,116
7/14/2015,164
7/15/2015,168
7/16/2015,128
7/17/2015,122
7/18/2015,51
7/19/2015,65
7/20/2015,137
7/21/2015,168
7/22/2015,136
7/23/2015,189
7/24/2015,125
7/25/2015,70
7/26/2015,85
7/27/2015,149
7/28/2015,160
7/29/2015,236
7/30/2015,168
7/31/2015,139
8/1/2015,80
8/2/2015,85
8/3/2015,111
8/4/2015,166
8/5/2015,145
8/6/2015,153
8/7/2015,125
8/8/2015,64
8/9/2015,86
8/10/2015,120
8/11/2015,138
8/12/2015,156
8/13/2015,128
8/14/2015,136
8/15/2015,91
8/16/2015,73
8/17/2015,128
8/18/2015,120
8/19/2015,127
8/20/2015,204
8/21/2015,128
8/22/2015,69
8/23/2015,101
8/24/2015,172
8/25/2015,181
8/26/2015,177
8/27/2015,161
8/28/2015,138
8/29/2015,76
8/30/2015,81
8/31/2015,173
9/1/2015,168
9/2/2015,187
9/3/2015,183
9/4/2015,132
9/5/2015,66
9/6/2015,57
9/7/2015,118
9/8/2015,227
9/9/2015,193
9/10/2015,150
9/11/2015,171
9/12/2015,78
9/13/2015,99
9/14/2015,237
9/15/2015,226
9/16/2015,177
9/17/2015,167
9/18/2015,129
9/19/2015,94
9/20/2015,93
9/21/2015,161
9/22/2015,166
9/23/2015,178
9/24/2015,127
9/25/2015,125
9/26/2015,98
9/27/2015,77
9/28/2015,167
9/29/2015,193
9/30/2015,202
10/1/2015,177
10/2/2015,140
10/3/2015,64
10/4/2015,81
10/5/2015,139
10/6/2015,173
10/7/2015,144
10/8/2015,157
10/9/2015,117
10/10/2015,87
10/11/2015,83
10/12/2015,117
10/13/2015,163
10/14/2015,158
10/15/2015,145
10/16/2015,139
10/17/2015,62
10/18/2015,66
10/19/2015,128
10/20/2015,136
10/21/2015,157
10/22/2015,163
10/23/2015,138
10/24/2015,67
10/25/2015,71
10/26/2015,136
10/27/2015,175
10/28/2015,166
10/29/2015,120
10/30/2015,131
10/31/2015,67
11/1/2015,72
11/2/2015,153
11/3/2015,126
11/4/2015,139
11/5/2015,141
11/6/2015,124
11/7/2015,75
11/8/2015,102
11/9/2015,154
11/10/2015,322
11/11/2015,403
11/12/2015,244
11/13/2015,171
11/14/2015,91
11/15/2015,68
11/16/2015,168
11/17/2015,146
11/18/2015,152
11/19/2015,156
11/20/2015,116
11/21/2015,84
11/22/2015,94
11/23/2015,144
11/24/2015,117
11/25/2015,117
11/26/2015,85
11/27/2015,108
11/28/2015,89
11/29/2015,93
11/30/2015,151
12/1/2015,196
12/2/2015,173
12/3/2015,177
12/4/2015,169
12/5/2015,123
12/6/2015,112
12/7/2015,196
12/8/2015,151
12/9/2015,155
12/10/2015,134
12/11/2015,128
12/12/2015,78
12/13/2015,95
12/14/2015,139
12/15/2015,130
12/16/2015,130
12/17/2015,139
12/18/2015,97
12/19/2015,63
12/20/2015,63
12/21/2015,121
12/22/2015,145
12/23/2015,91
12/24/2015,66
12/25/2015,62
12/26/2015,88
12/27/2015,86
12/28/2015,86
12/29/2015,116
12/30/2015,120
12/31/2015,75
1/1/2016,66
1/2/2016,61
1/3/2016,70
1/4/2016,94
1/5/2016,135
1/6/2016,128
1/7/2016,155
1/8/2016,136
1/9/2016,76
1/10/2016,72
1/11/2016,154
1/12/2016,163
1/13/2016,166
1/14/2016,159
1/15/2016,152
1/16/2016,118
1/17/2016,76
1/18/2016,164
1/19/2016,189
1/20/2016,230
1/21/2016,241
1/22/2016,161
1/23/2016,81
1/24/2016,82
1/25/2016,174
1/26/2016,164
1/27/2016,185
1/28/2016,179
1/29/2016,166
1/30/2016,90
1/31/2016,98
2/1/2016,210
2/2/2016,269
2/3/2016,204
2/4/2016,175
2/5/2016,162
2/6/2016,91
2/7/2016,118
2/8/2016,241
2/9/2016,475
2/10/2016,203
2/11/2016,167
2/12/2016,165
2/13/2016,97
2/14/2016,82
2/15/2016,130
2/16/2016,167
2/17/2016,187
2/18/2016,177
2/19/2016,147
2/20/2016,69
2/21/2016,101
2/22/2016,149
2/23/2016,152
2/24/2016,160
2/25/2016,179
2/26/2016,186
2/27/2016,87
2/28/2016,81
2/29/2016,143
3/1/2016,185
3/2/2016,221
3/3/2016,229
3/4/2016,167
3/5/2016,99
3/6/2016,85
3/7/2016,136
3/8/2016,159
3/9/2016,151
3/10/2016,248
3/11/2016,294
3/12/2016,127
3/13/2016,97
3/14/2016,224
3/15/2016,249
3/16/2016,230
3/17/2016,215
3/18/2016,240
3/19/2016,179
3/20/2016,149
3/21/2016,227
3/22/2016,153
3/23/2016,140
3/24/2016,121
3/25/2016,184
3/26/2016,74
3/27/2016,78
3/28/2016,126
3/29/2016,156
3/30/2016,224
3/31/2016,127
4/1/2016,97
4/2/2016,82
4/3/2016,84
4/4/2016,123
4/5/2016,366
4/6/2016,142
4/7/2016,112
4/8/2016,129
4/9/2016,88
4/10/2016,79
4/11/2016,135
4/12/2016,156
4/13/2016,161
4/14/2016,174
4/15/2016,104
4/16/2016,87
4/17/2016,75
4/18/2016,134
4/19/2016,134
4/20/2016,136
4/21/2016,136
4/22/2016,128
4/23/2016,123
4/24/2016,154
4/25/2016,211
4/26/2016,152
4/27/2016,128
4/28/2016,116
4/29/2016,105
4/30/2016,74
5/1/2016,67
5/2/2016,271
5/3/2016,128
5/4/2016,121
5/5/2016,126
5/6/2016,114
5/7/2016,75
5/8/2016,66
5/9/2016,140
5/10/2016,122
5/11/2016,139
5/12/2016,113
5/13/2016,106
5/14/2016,87
5/15/2016,45
5/16/2016,130
5/17/2016,128
5/18/2016,150
5/19/2016,155
5/20/2016,119
5/21/2016,87
5/22/2016,80
5/23/2016,125
5/24/2016,141
5/25/2016,157
5/26/2016,147
5/27/2016,121
5/28/2016,52
5/29/2016,55
5/30/2016,102
5/31/2016,128
6/1/2016,127
6/2/2016,104
6/3/2016,116
6/4/2016,52
6/5/2016,62
6/6/2016,131
6/7/2016,141
6/8/2016,131
6/9/2016,148
6/10/2016,98
6/11/2016,108
6/12/2016,67
6/13/2016,122
6/14/2016,113
6/15/2016,114
6/16/2016,102
6/17/2016,91
6/18/2016,74
6/19/2016,68
