Date,Open,High,Low,Close,Adj Close,Volume
1/12/2018,4.22,4.34,4.18,4.28,4.28,33197100
1/16/2018,4.3,4.3,4.12,4.14,4.14,32862600
1/17/2018,4.17,4.18,4.02,4.09,4.09,32859100
1/18/2018,4.07,4.08,3.97,3.99,3.99,23808900
1/19/2018,4,4,3.91,3.95,3.95,22388600
1/22/2018,3.97,3.99,3.9,3.97,3.97,28296500
1/23/2018,4.05,4.11,3.97,4.07,4.07,29459900
1/24/2018,4.09,4.18,4.07,4.08,4.08,29132100
1/25/2018,4.14,4.18,3.92,3.96,3.96,32781900
1/26/2018,4,4.01,3.94,4,4,20907800
1/29/2018,3.95,3.99,3.86,3.88,3.88,26759500
1/30/2018,3.85,3.85,3.62,3.63,3.63,58594700
1/31/2018,3.68,3.69,3.5,3.5,3.5,42937400
2/1/2018,3.49,3.5,3.3,3.46,3.46,50696200
2/2/2018,3.43,3.44,3.3,3.33,3.33,42975900
2/5/2018,3.3,3.37,3,3.09,3.09,51894400
2/6/2018,3.01,3.19,2.98,3.13,3.13,46966000
2/7/2018,3.12,3.16,2.8,2.89,2.89,71174900
2/8/2018,2.92,2.96,2.8,2.82,2.82,33741900
2/9/2018,2.85,2.87,2.53,2.85,2.85,66470800
2/12/2018,2.92,2.97,2.84,2.85,2.85,32884800
2/13/2018,2.85,2.87,2.72,2.74,2.74,31014000
2/14/2018,2.7,2.87,2.66,2.8,2.8,26924900
2/15/2018,2.82,2.88,2.72,2.86,2.86,27714300
2/16/2018,2.85,2.86,2.7,2.73,2.73,29056600
2/20/2018,2.77,2.79,2.73,2.77,2.77,21245800
2/21/2018,2.78,2.79,2.63,2.63,2.63,36241200
2/22/2018,2.87,3.33,2.86,3.2,3.2,130538200
2/23/2018,3.38,3.43,3.04,3.2,3.2,78438300
2/26/2018,3.2,3.28,3.06,3.21,3.21,38198300
2/27/2018,3.18,3.23,3.06,3.06,3.06,38960600
2/28/2018,3.06,3.09,2.8,2.82,2.82,53447300
3/1/2018,2.83,2.9,2.77,2.8,2.8,43314000
3/2/2018,2.8,2.98,2.77,2.96,2.96,31861800
3/5/2018,2.95,3.18,2.93,3.12,3.12,37361900
3/6/2018,3.16,3.18,3.03,3.11,3.11,27476900
3/7/2018,3.05,3.14,3.01,3.04,3.04,27705900
3/8/2018,3.06,3.08,2.97,2.97,2.97,21201500
3/9/2018,3.05,3.11,3.01,3.1,3.1,29126700
3/12/2018,3.11,3.17,3.05,3.11,3.11,26295700
3/13/2018,3.12,3.17,3.09,3.12,3.12,24317100
3/14/2018,3.15,3.17,3.02,3.03,3.03,34834700
3/15/2018,3.06,3.12,2.98,3.02,3.02,31046100
3/16/2018,3.03,3.13,2.98,3.06,3.06,197228500
3/19/2018,3.05,3.09,2.99,3.01,3.01,27953000
3/20/2018,3.01,3.13,3.01,3.11,3.11,32384300
3/21/2018,3.12,3.24,3.11,3.23,3.23,33816400
3/22/2018,3.15,3.2,3.08,3.11,3.11,20993200
3/23/2018,3.15,3.21,3.05,3.07,3.07,26718900
