Date,Open,High,Low,Close,Adj Close,Volume
8/15/1997,1.739583,1.744792,1.697917,1.697917,0.762172,343200
8/18/1997,1.708333,1.708333,1.697917,1.703125,0.764511,58400
8/19/1997,1.703125,1.760417,1.692708,1.760417,0.790228,488000
8/20/1997,1.760417,1.802083,1.760417,1.802083,0.808932,1016000
8/21/1997,1.802083,1.802083,1.744792,1.744792,0.783215,855200
8/22/1997,1.739583,1.739583,1.708333,1.739583,0.780877,165600
8/25/1997,1.75,1.828125,1.75,1.78125,0.79958,1048800
8/26/1997,1.786458,1.84375,1.786458,1.833333,0.82296,886400
8/27/1997,1.84375,1.916667,1.84375,1.916667,0.860367,1113600
8/28/1997,1.916667,1.927083,1.875,1.921875,0.862704,1776000
8/29/1997,1.916667,1.9375,1.90625,1.932292,0.867381,818400
9/2/1997,1.9375,1.958333,1.916667,1.932292,0.867381,761600
9/3/1997,1.921875,1.958333,1.921875,1.953125,0.876733,559200
9/4/1997,1.947917,1.979167,1.947917,1.96875,0.883746,1478400
9/5/1997,1.96875,1.979167,1.963542,1.973958,0.886084,346400
9/8/1997,1.979167,1.989583,1.890625,1.890625,0.848677,840800
9/9/1997,1.890625,1.895833,1.84375,1.859375,0.83465,1171200
9/10/1997,1.848958,1.869792,1.84375,1.848958,0.829974,1143200
9/11/1997,1.848958,1.864583,1.84375,1.859375,0.83465,357600
9/12/1997,1.848958,1.859375,1.848958,1.859375,0.83465,360800
9/15/1997,1.84375,1.916667,1.84375,1.90625,0.855691,1262400
9/16/1997,1.916667,1.958333,1.916667,1.958333,0.879071,898400
9/17/1997,1.958333,1.994792,1.911458,1.911458,0.858029,1507200
9/18/1997,1.916667,1.9375,1.875,1.911458,0.858029,1251200
9/19/1997,1.927083,1.947917,1.927083,1.932292,0.867381,652800
9/22/1997,1.947917,1.963542,1.9375,1.9375,0.869719,334400
9/23/1997,1.9375,1.958333,1.880208,1.885417,0.846339,254400
9/24/1997,1.885417,1.963542,1.885417,1.958333,0.879071,441600
9/25/1997,1.953125,1.953125,1.895833,1.901042,0.853353,597600
9/26/1997,1.880208,1.916667,1.875,1.911458,0.858029,1365600
9/29/1997,1.911458,1.927083,1.911458,1.911458,0.858029,596000
9/30/1997,1.911458,1.9375,1.890625,1.921875,0.862704,924800
10/1/1997,1.9375,2.026042,1.9375,2,0.897774,562400
10/2/1997,1.994792,2,1.963542,1.994792,0.895436,840000
10/3/1997,2,2.041667,2,2.03125,0.911802,792000
