Date,Open,High,Low,Close,Adj Close,Volume
8/15/1997,19.96875,19.96875,19.65625,19.9375,15.944682,55800
8/18/1997,20.0625,20.1875,19.6875,20,15.994661,89400
8/19/1997,20.125,20.125,19.9375,20.03125,16.019657,76600
8/20/1997,19.96875,20.125,19.9375,20,15.994661,50200
8/21/1997,20,20,19.625,19.625,15.694769,49200
8/22/1997,19.75,20.1875,19.75,19.96875,15.969683,69200
8/25/1997,19.96875,20.1875,19.96875,20.15625,16.119616,304600
8/26/1997,20.03125,20.375,19.9375,19.9375,15.944682,81000
8/27/1997,19.8125,20.625,19.8125,20.625,16.494499,105000
8/28/1997,20.6875,20.9375,20.5,20.875,16.694431,105600
8/29/1997,20.875,21.4375,20.8125,21.34375,17.069304,138200
9/2/1997,21.625,22.25,21.375,21.875,17.494167,232800
9/3/1997,21.875,22.21875,21.875,22.1875,17.744085,107000
9/4/1997,22.1875,22.25,21.5625,21.90625,17.519161,135000
9/5/1997,21.875,22.125,21.75,22.09375,17.669111,30400
9/8/1997,22,22.625,22,22.5,17.993994,149000
9/9/1997,22.5,22.5,22.3125,22.46875,17.969006,76800
9/10/1997,22.25,22.25,21.71875,21.84375,17.469168,119600
9/11/1997,21.6875,22,21.6875,22,17.634502,53800
9/12/1997,21.875,21.9375,21.75,21.875,17.534304,131800
9/15/1997,21.8125,22,21.71875,22,17.634502,134000
9/16/1997,22,22.0625,21.9375,22,17.634502,111200
9/17/1997,22,22.125,21.75,21.75,17.434099,230600
9/18/1997,21.71875,21.75,21.25,21.4375,17.183622,171800
9/19/1997,21,21.25,20.5,21,16.832932,185000
9/22/1997,21.125,21.21875,20.75,21,16.832932,127400
9/23/1997,21,21,20.5,20.65625,16.557381,127600
9/24/1997,20.6875,20.875,20.5,20.78125,16.657578,186400
9/25/1997,20.75,21.125,20.6875,21.0625,16.88303,332600
9/26/1997,21.25,21.875,21.25,21.59375,17.308855,269600
9/29/1997,21.59375,22,21.4375,21.875,17.534304,130400
9/30/1997,22,22.125,21.875,22,17.634502,140000
10/1/1997,22.09375,22.8125,22.09375,22.8125,18.285767,241800
10/2/1997,22.8125,23.6875,22.6875,23.6875,18.987144,94000
10/3/1997,23.6875,23.6875,23.25,23.375,18.736652,101200
10/6/1997,23.1875,24.5625,23.1875,24.1875,19.387938,122200
10/7/1997,24.3125,24.3125,24,24.125,19.337826,171400
10/8/1997,24,24.125,23.875,23.875,19.137436,74200
10/9/1997,24,24,23.90625,23.96875,19.212582,19200
10/10/1997,23.96875,24.1875,23.875,24.125,19.337826,123600
10/13/1997,24.09375,24.40625,24.09375,24.21875,19.412977,58200
10/14/1997,24.125,24.125,23.5625,23.75,19.037241,81200
10/15/1997,23.625,23.625,22.875,23.375,18.736652,171600
10/16/1997,23.375,23.46875,22.9375,22.9375,18.385962,97400
10/17/1997,22.75,22.9375,21.75,22.125,17.734697,159000
10/20/1997,22.125,22.75,22.125,22.6875,18.185577,128200
10/21/1997,22.71875,23.0625,22.5,23,18.436064,205000
10/22/1997,23.1875,23.1875,22.65625,23.1875,18.586359,185000
10/23/1997,22.9375,23.1875,22.8125,22.875,18.335873,116800
10/24/1997,23,23.25,22.625,22.65625,18.160532,68200
10/27/1997,22.5625,22.6875,22.1875,22.3125,17.884991,86800
10/28/1997,21.75,22,21.25,21.5625,17.283806,231000
10/29/1997,21.6875,22.0625,21.6875,22.0625,17.684591,217800
10/30/1997,22.1875,22.1875,21.6875,21.78125,17.459154,46200
10/31/1997,21.75,22.375,21.59375,22.375,17.935093,84800
11/3/1997,22.375,23.4375,22.375,23.21875,18.611408,109400
11/4/1997,23.21875,23.25,22.875,23.25,18.636454,116800
11/5/1997,23.1875,23.375,22.78125,22.78125,18.260721,119800
11/6/1997,22.8125,22.8125,22.6875,22.6875,18.185577,59600
11/7/1997,22.5625,22.5625,22.0625,22.0625,17.684591,81800
11/10/1997,22.0625,22.0625,21.75,21.90625,17.559353,54200
11/11/1997,21.78125,21.9375,21.6875,21.9375,17.584408,30600
11/12/1997,21.875,21.90625,21.53125,21.53125,17.258764,29800
11/13/1997,21.5,21.625,21.40625,21.5,17.233719,74800
11/14/1997,21.5,21.5625,21.375,21.46875,17.20866,37000
11/17/1997,21.5625,22,21.5625,21.96875,17.609442,70000
11/18/1997,21.75,21.75,21.5,21.5,17.233719,126000
11/19/1997,21.375,21.375,21.21875,21.25,17.033321,79200
11/20/1997,21.1875,21.25,20.875,20.875,16.732733,144400
11/21/1997,20.875,20.875,20.5625,20.625,16.532352,156200
11/24/1997,20.5,20.5,20,20.03125,16.056414,64800
11/25/1997,19.875,20.03125,19.09375,19.5,15.63058,150000
11/26/1997,19.5,19.75,19.375,19.375,15.530383,50600
11/28/1997,19.375,19.5625,19.3125,19.4375,15.580493,115800
12/1/1997,19.3125,19.3125,18.78125,18.84375,15.104552,148800
12/2/1997,18.71875,18.75,17.5,18.6875,14.979297,366400
12/3/1997,18.6875,18.875,18.6875,18.75,15.029397,167800
12/4/1997,18.75,18.75,18.375,18.46875,14.803962,393800
12/5/1997,18.46875,18.6875,18.375,18.625,14.92921,298200
12/8/1997,18.625,18.625,18.4375,18.46875,14.803962,359200
12/9/1997,18.375,18.5,18.25,18.5,14.829014,318200
12/10/1997,18.375,18.375,18,18.1875,14.57852,318800
