Date,Open,High,Low,Close,Adj Close,Volume
8/15/1997,5.703125,5.796875,5.578125,5.578125,4.194606,1025600
8/18/1997,5.578125,5.59375,5.515625,5.5625,4.182855,1256400
8/19/1997,5.578125,5.671875,5.546875,5.65625,4.253356,1192400
8/20/1997,5.71875,5.765625,5.671875,5.75,4.323851,1377600
8/21/1997,5.6875,5.734375,5.625,5.625,4.229856,732800
8/22/1997,5.5625,5.671875,5.484375,5.65625,4.253356,842400
8/25/1997,5.6875,5.734375,5.625,5.6875,4.276853,851600
8/26/1997,5.65625,5.75,5.625,5.734375,4.312102,648800
8/27/1997,5.75,5.796875,5.65625,5.75,4.323851,629200
8/28/1997,5.75,5.8125,5.578125,5.8125,4.370848,1627200
8/29/1997,5.859375,6.03125,5.859375,6.03125,4.535344,1526800
9/2/1997,6,6.0625,5.921875,6.0625,4.558843,2116000
9/3/1997,6.0625,6.25,6.015625,6.203125,4.66459,1538800
9/4/1997,6.21875,6.265625,6.0625,6.125,4.605841,2052400
9/5/1997,6.09375,6.125,5.9375,6.015625,4.523594,1785600
9/8/1997,5.96875,6.03125,5.84375,5.90625,4.441347,1554000
9/9/1997,5.828125,5.953125,5.8125,5.953125,4.476597,704400
9/10/1997,5.9375,6.0625,5.90625,5.984375,4.500096,787200
9/11/1997,5.9375,5.9375,5.65625,5.75,4.323851,1441200
9/12/1997,5.703125,5.875,5.671875,5.8125,4.370848,1030800
9/15/1997,5.8125,5.8125,5.734375,5.78125,4.347351,1168400
9/16/1997,5.828125,5.890625,5.75,5.828125,4.382599,1175200
9/17/1997,5.84375,5.84375,5.6875,5.71875,4.300353,736400
9/18/1997,5.71875,5.75,5.609375,5.75,4.323851,1006800
9/19/1997,5.75,5.75,5.5625,5.640625,4.241606,1227600
9/22/1997,5.640625,5.703125,5.625,5.703125,4.288604,881600
9/23/1997,5.65625,5.6875,5.5625,5.6875,4.276853,1400800
9/24/1997,5.625,5.890625,5.5625,5.8125,4.370848,1210800
9/25/1997,5.734375,5.796875,5.671875,5.75,4.323851,1124800
9/26/1997,5.6875,5.828125,5.625,5.765625,4.335599,3287200
9/29/1997,5.703125,5.734375,5.625,5.6875,4.276853,830400
9/30/1997,5.625,5.6875,5.5625,5.5625,4.182855,1301200
10/1/1997,5.625,5.640625,5.5,5.5625,4.182855,2548000
10/2/1997,5.546875,5.625,5.5,5.578125,4.194606,1958000
10/3/1997,5.5625,5.671875,5.515625,5.65625,4.253356,1053200
10/6/1997,5.625,5.8125,5.625,5.78125,4.347351,1430800
10/7/1997,5.75,5.96875,5.71875,5.765625,4.335599,3018800
10/8/1997,5.796875,5.84375,5.65625,5.71875,4.300353,809200
10/9/1997,5.65625,5.703125,5.640625,5.65625,4.253356,948800
10/10/1997,5.65625,5.78125,5.609375,5.625,4.252411,2402800
10/13/1997,5.6875,5.734375,5.546875,5.59375,4.228785,979200
10/14/1997,5.65625,5.71875,5.53125,5.53125,4.181535,2642800
10/15/1997,5.515625,5.5625,5.5,5.5,4.157913,1076000
10/16/1997,5.5625,5.609375,5.484375,5.484375,4.146099,1611600
10/17/1997,5.46875,5.484375,5.359375,5.40625,4.087038,890400
10/20/1997,5.375,5.640625,5.34375,5.609375,4.240596,2530400
10/21/1997,5.578125,5.65625,5.515625,5.65625,4.276032,1436400
10/22/1997,5.65625,5.71875,5.609375,5.71875,4.32328,1407200
10/23/1997,5.609375,5.625,5.53125,5.5625,4.205161,817200
10/24/1997,5.59375,5.75,5.578125,5.71875,4.32328,1408000
10/27/1997,5.671875,5.671875,5.296875,5.296875,4.004352,1316800
10/28/1997,5,5.3125,5,5.171875,3.909854,3302000
10/29/1997,5.1875,5.40625,5.1875,5.28125,3.992538,1778800
10/30/1997,4.9375,5.359375,4.9375,5.109375,3.862603,2910400
10/31/1997,5.171875,5.3125,5.171875,5.265625,3.980728,1048400
11/3/1997,5.28125,5.375,5.28125,5.328125,4.027976,1388800
11/4/1997,5.3125,5.3125,5.25,5.28125,3.992538,1326400
11/5/1997,5.28125,5.28125,5.21875,5.28125,3.992538,1605200
11/6/1997,5.25,5.3125,5.125,5.1875,3.921664,1626400
11/7/1997,5.078125,5.171875,5.046875,5.078125,3.83898,596800
11/10/1997,5.25,5.28125,5.1875,5.203125,3.933477,972400
11/11/1997,5.203125,5.203125,5,5.046875,3.815356,1226400
