Date,Open,High,Low,Close,Adj Close,Volume
8/15/1997,7.296875,7.40625,7.15625,7.28125,3.091857,307600
8/18/1997,7.25,7.25,7.078125,7.15625,3.038779,161600
8/19/1997,7.15625,7.34375,7.15625,7.3125,3.105128,204800
8/20/1997,7.265625,7.390625,7.234375,7.390625,3.138301,318400
8/21/1997,7.359375,7.4375,7.3125,7.34375,3.118397,281200
8/22/1997,7.328125,7.421875,7.3125,7.421875,3.151572,211200
8/25/1997,7.390625,7.453125,7.390625,7.4375,3.158206,138000
8/26/1997,7.390625,7.5,7.390625,7.46875,3.171476,175200
8/27/1997,7.5,7.625,7.46875,7.625,3.237826,413200
8/28/1997,7.59375,7.6875,7.59375,7.6875,3.264364,227600
8/29/1997,7.625,7.734375,7.578125,7.640625,3.24446,158400
9/2/1997,7.6875,7.875,7.65625,7.796875,3.310808,607200
9/3/1997,7.8125,7.859375,7.734375,7.84375,3.330714,270800
9/4/1997,7.90625,7.90625,7.640625,7.734375,3.28427,128000
9/5/1997,7.75,7.828125,7.75,7.828125,3.324079,202000
9/8/1997,7.875,7.9375,7.78125,7.796875,3.310808,184000
9/9/1997,7.78125,7.84375,7.75,7.796875,3.310808,139600
9/10/1997,7.765625,7.765625,7.640625,7.71875,3.277636,74400
9/11/1997,7.65625,7.734375,7.640625,7.6875,3.264364,49200
9/12/1997,7.75,7.75,7.65625,7.71875,3.277636,295600
9/15/1997,7.6875,7.71875,7.65625,7.703125,3.271,204800
9/16/1997,7.6875,7.78125,7.6875,7.75,3.290904,204800
9/17/1997,7.75,7.75,7.5625,7.59375,3.224557,158800
9/18/1997,7.546875,7.625,7.546875,7.5625,3.211286,592000
9/19/1997,7.390625,7.578125,7.390625,7.53125,3.198015,897600
9/22/1997,7.5625,7.609375,7.5,7.578125,3.217921,410800
9/23/1997,7.515625,7.53125,7.421875,7.4375,3.158206,898800
9/24/1997,7.4375,7.6875,7.4375,7.625,3.237826,390800
9/25/1997,7.625,7.640625,7.53125,7.59375,3.224557,206000
9/26/1997,7.59375,7.625,7.453125,7.515625,3.191381,386800
9/29/1997,7.515625,7.6875,7.46875,7.65625,3.251096,786000
9/30/1997,7.65625,7.875,7.65625,7.875,3.343984,897600
10/1/1997,7.875,7.9375,7.8125,7.9375,3.370524,400000
10/2/1997,7.859375,7.96875,7.75,7.96875,3.383794,196400
10/3/1997,7.984375,8,7.859375,7.90625,3.357253,328800
10/6/1997,7.90625,7.96875,7.765625,7.859375,3.337349,252400
10/7/1997,7.84375,7.984375,7.84375,7.9375,3.370524,53600
10/8/1997,7.9375,7.9375,7.75,7.859375,3.337349,260000
10/9/1997,7.875,7.890625,7.8125,7.875,3.343984,54000
10/10/1997,7.84375,7.9375,7.84375,7.875,3.343984,89600
10/13/1997,7.8125,7.9375,7.75,7.921875,3.363889,153200
10/14/1997,7.921875,7.9375,7.84375,7.84375,3.330714,57600
10/15/1997,7.84375,7.9375,7.796875,7.84375,3.330714,96400
10/16/1997,7.890625,8,7.796875,7.90625,3.357253,152800
10/17/1997,7.90625,7.921875,7.75,7.875,3.343984,546800
10/20/1997,7.78125,7.953125,7.765625,7.9375,3.370524,651200
10/21/1997,7.90625,8.0625,7.90625,8.0625,3.423603,71200
10/22/1997,8.09375,8.109375,7.96875,8.0625,3.423603,310400
10/23/1997,8,8,7.75,7.796875,3.310808,134800
10/24/1997,7.859375,8.015625,7.859375,7.984375,3.390428,267600
10/27/1997,7.984375,8,7.78125,7.796875,3.310808,108400
10/28/1997,7.40625,7.84375,7.40625,7.828125,3.324079,380400
10/29/1997,7.78125,8,7.75,8,3.397062,231600
10/30/1997,7.9375,7.96875,7.78125,7.875,3.343984,178400
10/31/1997,7.875,8.015625,7.84375,7.953125,3.377158,330400
11/3/1997,7.984375,8.109375,7.796875,7.859375,3.337349,657600
11/4/1997,7.828125,7.9375,7.734375,7.921875,3.363889,217200
11/5/1997,7.953125,8.0625,7.90625,7.953125,3.377158,390800
11/6/1997,7.953125,7.953125,7.765625,7.78125,3.304174,216000
11/7/1997,7.71875,7.828125,7.6875,7.8125,3.317444,226000
11/10/1997,7.8125,8.03125,7.8125,7.953125,3.377158,167600
11/11/1997,7.9375,8.03125,7.90625,7.984375,3.390428,266400
11/12/1997,7.8125,7.9375,7.78125,7.859375,3.465476,235200
11/13/1997,7.828125,7.921875,7.78125,7.890625,3.479254,248400
11/14/1997,7.859375,7.9375,7.78125,7.921875,3.493035,510000
11/17/1997,7.9375,8.046875,7.9375,8.03125,3.54126,579600
11/18/1997,7.9375,8,7.875,7.9375,3.499924,121600
11/19/1997,7.875,8.03125,7.8125,8.015625,3.534372,323200
11/20/1997,8.03125,8.375,8,8.28125,3.651496,568000
11/21/1997,8.3125,8.3125,8.03125,8.078125,3.561929,165200
11/24/1997,8.0625,8.09375,7.875,8,3.52748,177600
11/25/1997,8.0625,8.125,8,8.09375,3.568818,136800
11/26/1997,8.125,8.125,7.875,8,3.52748,98800
11/28/1997,8.015625,8.15625,8.015625,8.09375,3.568818,29200
12/1/1997,8.09375,8.25,8.078125,8.1875,3.610158,356800
12/2/1997,8.1875,8.203125,8.03125,8.046875,3.54815,204800
12/3/1997,8.03125,8.203125,7.90625,8.203125,3.617046,352400
12/4/1997,8.15625,8.1875,8.03125,8.078125,3.561929,259200
12/5/1997,8.078125,8.078125,8.046875,8.0625,3.55504,242800
12/8/1997,8.0625,8.125,8,8.125,3.582599,195200
12/9/1997,8.125,8.203125,8.125,8.203125,3.617046,127200
12/10/1997,8.203125,8.21875,8.0625,8.1875,3.610158,159600
12/11/1997,8.25,8.25,8.03125,8.03125,3.54126,146000
12/12/1997,8.0625,8.15625,8.0625,8.109375,3.575709,39600
12/15/1997,8.078125,8.25,8.03125,8.25,3.637714,82000
12/16/1997,8.1875,8.25,8.15625,8.25,3.637714,203200
12/17/1997,8.234375,8.375,8.21875,8.375,3.692835,70800
