Date,Open,High,Low,Close,Adj Close,Volume
8/15/1997,21.8125,21.96875,21.1875,21.25,13.600842,2176600
8/18/1997,21.25,21.4375,20.625,21,13.440828,3540800
8/19/1997,21.25,21.90625,21.1875,21.875,14.000864,3441200
8/20/1997,22.125,22.75,21.71875,22.625,14.4809,1845600
8/21/1997,22.625,22.90625,22.125,22.21875,14.220879,1245000
8/22/1997,21.875,22,21.40625,21.8125,13.960865,1130200
8/25/1997,21.8125,22.375,21.53125,21.75,13.920864,1697800
8/26/1997,21.625,22.6875,21.59375,22.53125,14.420893,1821400
8/27/1997,22.75,23.375,22.28125,23.28125,14.900922,2876800
8/28/1997,23.15625,24.125,22.75,24.125,15.440963,3237400
8/29/1997,23.875,24.15625,23.6875,23.875,15.360526,3164600
9/2/1997,23.875,24.15625,23.75,24.15625,15.54148,1567400
9/3/1997,24.15625,24.59375,24,24.5,15.762643,2413000
9/4/1997,24.5,25.34375,24.34375,25.125,16.164745,2578400
9/5/1997,25.09375,25.46875,24.875,25.1875,16.204964,2746600
9/8/1997,25.1875,25.4375,24.625,24.625,15.843062,1361200
9/9/1997,24.25,24.65625,24.15625,24.40625,15.702323,1977400
9/10/1997,24.375,24.96875,24.21875,24.375,15.682219,3347200
9/11/1997,24.5,24.5,23.75,24.03125,15.461052,1569600
9/12/1997,24.25,25.5,24.1875,25.5,16.406008,2545000
9/15/1997,25.375,26.125,25.28125,25.875,16.647274,1832200
9/16/1997,25.875,26.21875,25.4375,26.0625,16.767912,2661600
9/17/1997,26.25,26.375,25.71875,26,16.727701,3343000
9/18/1997,26.0625,26.4375,25.8125,25.8125,16.607063,1566200
9/19/1997,25.75,26.03125,25.53125,25.75,16.566858,1462200
9/22/1997,25.6875,26.15625,25.625,26,16.727701,1055800
9/23/1997,25.875,26,25.28125,25.625,16.486437,925200
9/24/1997,25.375,25.875,24.9375,25.0625,16.124544,1982000
9/25/1997,25.25,25.8125,25.25,25.46875,16.385912,1089600
9/26/1997,25,25.59375,24.96875,25.46875,16.385912,2003800
9/29/1997,25.40625,26.46875,25.25,26.4375,17.009174,1349000
9/30/1997,26.4375,26.4375,25.5625,26,16.727701,2020000
10/1/1997,26.25,26.53125,25.96875,26.28125,16.908646,1397800
10/2/1997,26.28125,27,26.1875,26.625,17.129807,1274200
10/3/1997,26.875,27.09375,26.03125,26.5,17.049391,1577800
10/6/1997,26.71875,26.875,26.5625,26.78125,17.230335,1900200
10/7/1997,27.125,28.71875,27,28.625,18.416557,2646400
10/8/1997,28.5,29,28.09375,28.28125,18.195398,2995800
10/9/1997,28.21875,29.46875,28.21875,29.0625,18.69803,3919200
10/10/1997,28.8125,30.25,28.625,29.5625,19.019711,2555000
10/13/1997,29.78125,30.1875,28.78125,28.875,18.5774,3248800
10/14/1997,29.125,29.25,27.28125,27.78125,17.873703,3972600
10/15/1997,27.875,28.5,27.5,28.15625,18.114973,2597600
10/16/1997,28.28125,28.5625,27,27.4375,17.652548,1771800
10/17/1997,27.375,27.9375,26.40625,27.6875,17.813393,3651400
10/20/1997,27.8125,29.1875,27.78125,29.15625,18.758348,3205800
10/21/1997,29.0625,29.59375,28.65625,29.59375,19.039824,1921800
10/22/1997,29.5625,29.875,29.03125,29.375,18.89908,1739200
10/23/1997,29.0625,30.75,28.53125,30.75,19.783724,5313000
10/24/1997,31.25,31.625,30.5,31.0625,19.984774,4658400
10/27/1997,30.875,31.15625,27.375,27.5,17.692764,2687400
10/28/1997,26.25,28.8125,26.1875,28.5,18.336136,10381200
10/29/1997,28.96875,30.0625,28.875,29.25,18.818666,4043000
10/30/1997,29,30.5,28.5,29.71875,19.120243,3758000
10/31/1997,30,30.3125,29.8125,29.8125,19.180561,2153400
11/3/1997,30.25,30.96875,30.25,30.8125,19.823923,1693400
11/4/1997,30.84375,31.625,30.75,31.34375,20.165722,2533600
11/5/1997,31.34375,31.625,30.75,31.0625,19.984774,2158800
11/6/1997,30.9375,30.9375,29.90625,30.125,19.381611,3266600
11/7/1997,30.125,30.21875,29.125,29.625,19.059923,2098200
11/10/1997,29.75,30.375,28.90625,29,18.657814,2148600
11/11/1997,29.34375,29.4375,28.5625,28.90625,18.597494,1394000
11/12/1997,28.5,29.75,28.125,28.15625,18.114973,1957800
11/13/1997,28.5625,28.71875,26.6875,26.75,17.21023,4880000
11/14/1997,27.0625,28.84375,26.75,28.625,18.416557,5917200
11/17/1997,29.0625,29.9375,28.9375,29.625,19.059923,3348000
11/18/1997,29.59375,29.8125,27.4375,27.5,17.692764,5685400
11/19/1997,27.46875,27.53125,26.8125,26.8125,17.250443,7875400
11/20/1997,27.75,28.125,27.125,27.46875,17.672661,6112800
11/21/1997,27.46875,28,27.25,27.5625,17.732973,3181000
11/24/1997,27.4375,27.5,26.25,26.28125,16.908646,3802000
11/25/1997,26.6875,26.9375,26,26.40625,16.989067,6030800
11/26/1997,26.625,27.40625,26.5625,27.125,17.451498,3498400
11/28/1997,27.0625,27.375,26.8125,26.96875,17.431297,766200
12/1/1997,27.1875,27.1875,25.5,25.5625,16.522367,7365400
12/2/1997,25.875,26.59375,25.6875,26.1875,16.926329,4678600
12/3/1997,27,27.375,26.5,27.25,17.613091,4384600
12/4/1997,27.75,28.34375,27.0625,27.15625,17.552485,5229200
12/5/1997,27.15625,28.375,27.0625,28.15625,18.198845,3083800
12/8/1997,28.3125,28.71875,28,28.625,18.50182,3048600
12/9/1997,28.625,29.1875,27.75,28.15625,18.198845,4015400
12/10/1997,28.0625,28.34375,27.0625,27.625,17.855461,2495200
12/11/1997,27.25,27.375,25.9375,26.3125,17.007124,4583200
12/12/1997,26.625,26.9375,25.4375,25.65625,16.582956,3843800
12/15/1997,25.53125,25.96875,23.9375,24.5,15.835617,6710000
12/16/1997,24.5,25.71875,24.5,25.5,16.481964,6471400
12/17/1997,26.125,26.4375,25,25.0625,16.199184,3716200
12/18/1997,25.1875,25.59375,24.53125,24.84375,16.057795,2511400
12/19/1997,24.8125,25.09375,23.5,24.65625,15.936609,4839800
12/22/1997,25,25.1875,22.84375,24.125,15.593237,5350200
12/23/1997,24,24.15625,23,23.03125,14.886288,3470200
12/24/1997,23.375,23.59375,22.90625,23.4375,15.148868,1879400
12/26/1997,23.4375,23.875,23.3125,23.625,15.270059,1388000
12/29/1997,23.9375,24.59375,23.78125,24.3125,15.714419,2471000
12/30/1997,24.5,24.71875,23.90625,24.71875,15.977003,2804600
12/31/1997,25,26.125,24.9375,25.9375,16.764742,2628600
1/2/1998,25.96875,25.96875,25.3125,25.5625,16.522367,2163000
1/5/1998,25.625,25.84375,23.78125,23.9375,15.472041,4794000
1/6/1998,23.375,23.5,22.625,22.9375,14.825696,6126600
1/7/1998,23.1875,24,22.3125,23.96875,15.492241,8080600
1/8/1998,23,23.28125,22.53125,22.53125,14.563113,5783600
1/9/1998,22.5,22.75,21,21.1875,13.694575,6973800
1/12/1998,20.375,21.96875,20.375,21.1875,13.694575,4710600
1/13/1998,21.8125,22.625,21.75,22.0625,14.260136,5513600
1/14/1998,21.96875,22.625,21.96875,22.375,14.462118,4226800
1/15/1998,22.96875,23.4375,22.28125,22.375,14.462118,5669400
1/16/1998,22.625,23.375,22.53125,23.25,15.02767,3456200
1/20/1998,23.625,24.40625,23.5,24.25,15.674023,4157800
1/21/1998,24.25,24.25,23.3125,24.0625,15.552834,3014800
1/22/1998,22.3125,22.6875,21.3125,21.75,14.058152,8261600
1/23/1998,22.1875,22.5625,21.40625,21.53125,13.91676,5937200
1/26/1998,22,22.28125,21.375,22,14.219736,5453400
1/27/1998,21.875,22.40625,21.625,21.6875,14.01775,4068200
1/28/1998,22,22.90625,21.875,22.71875,14.684299,4784200
1/29/1998,23,24,23,23.625,15.270059,4366800
1/30/1998,23.5,23.625,22.375,22.46875,14.522716,3916600
2/2/1998,22.6875,22.8125,21.875,22.1875,14.340932,4791000
2/3/1998,22.125,22.59375,21.96875,22.25,14.381322,3640000
2/4/1998,22.25,24,22.21875,23.875,15.431647,6992800
2/5/1998,24.25,24.84375,24.15625,24.34375,15.734626,6494000
2/6/1998,24.46875,24.5625,23.875,24.09375,15.573039,3034400
2/9/1998,24.25,24.75,23.3125,23.5,15.189266,3410400
2/10/1998,23.625,24.125,23.625,23.9375,15.472041,2006800
2/11/1998,24.25,24.375,23.78125,23.9375,15.472041,2621400
2/12/1998,23.5625,23.625,22.9375,23.34375,15.08827,2647800
2/13/1998,23.5,24,23.40625,23.875,15.431647,2395000
2/17/1998,23.75,23.9375,22.34375,22.75,14.704499,4093000
2/18/1998,22.875,23.25,22.4375,23.125,14.94688,7318200
2/19/1998,23,23.21875,22.4375,22.5,14.542911,10707200
2/20/1998,22.59375,22.71875,22.09375,22.4375,14.502514,4912800
2/23/1998,22.1875,22.1875,21.3125,21.75,14.058152,5046800
2/24/1998,21.71875,22,21.125,21.46875,13.876362,3512600
2/25/1998,21.6875,22.3125,21.625,22,14.219736,4822200
2/26/1998,22.9375,24.375,22.90625,23.25,15.02767,20630200
2/27/1998,23.5,23.625,23.125,23.28125,15.047878,6914000
3/2/1998,23.375,23.875,23.15625,23.875,15.514948,7263400
3/3/1998,24,25.0625,23.71875,25,16.246017,8687400
3/4/1998,25.25,25.53125,24.21875,24.28125,15.778942,11740400
3/5/1998,24.25,24.75,24,24.5,15.921094,4363200
