Date,Open,High,Low,Close,Adj Close,Volume
4/12/2012,33.25,34.209999,32,34,28.954786,654700
4/13/2012,34,37.450001,33.91,37,31.509613,1685000
4/16/2012,37,37,35.990002,36.549999,31.126385,550200
4/17/2012,36.400002,36.75,36,36,30.658003,179600
4/18/2012,36,36.439999,34.5,36,30.658003,207100
4/19/2012,36,37.220001,35.799999,36,30.658003,598100
4/20/2012,36.099998,37,36.099998,36.32,30.93051,149700
4/23/2012,36.240002,36.240002,35.419998,35.68,30.38549,95700
4/24/2012,36,36,34.68,34.75,29.593493,124500
4/25/2012,34.799999,35.5,34.5,34.75,29.593493,266200
4/26/2012,34.610001,34.990002,34.439999,34.950001,29.763811,183900
4/27/2012,35.25,35.25,33.970001,34.110001,29.048452,536000
4/30/2012,34.34,34.900002,34,34.049999,28.99736,4105700
5/1/2012,33.740002,34.099998,32.580002,32.759998,27.898781,6878600
5/2/2012,32.599998,32.669998,31.629999,32,27.251558,11287600
5/3/2012,31.93,31.98,31.049999,31.389999,26.732071,11800000
5/4/2012,30.85,31.09,30.120001,30.16,25.684591,10881000
5/7/2012,30.1,30.549999,29.25,29.35,24.994787,12257200
5/8/2012,29.09,30.41,28.75,30.1,25.633499,14601300
5/9/2012,29.809999,32.889999,29.73,32.490002,27.668852,13990000
5/10/2012,33.049999,33.349998,31.52,32.48,27.66033,8862000
5/11/2012,31.73,32.150002,31.4,31.83,27.106777,4460100
5/14/2012,31.190001,31.58,30.77,31.32,26.672462,6398200
5/15/2012,31.35,32.32,31.059999,31.67,26.970528,6362800
5/16/2012,31.459999,32.389999,31.25,32.099998,27.336718,6118600
5/17/2012,31.889999,32,31.200001,31.26,26.621363,5850500
5/18/2012,31.43,31.690001,30.99,31.379999,26.723558,7940800
5/21/2012,31.23,32.34,30.950001,32.189999,27.413363,5480100
5/22/2012,31.879999,32.27,31.33,31.629999,26.93646,5415000
5/23/2012,31.35,31.49,30.879999,31.41,26.749104,5268900
5/24/2012,31.42,31.440001,30.75,31.129999,26.510653,4210400
5/25/2012,31.01,31.41,30.83,31.299999,26.655424,3217900
5/29/2012,31.280001,31.719999,30.860001,31.01,26.408461,3979600
5/30/2012,30.790001,30.83,30.18,30.440001,25.923044,6000600
5/31/2012,30.26,30.35,29.719999,30.030001,25.573881,8098000
6/1/2012,29.5,30.17,29.379999,29.92,25.480209,5701700
6/4/2012,29.299999,30.190001,29.25,29.530001,25.148077,4844900
6/5/2012,29.370001,30.1,29.32,29.9,25.463173,4046500
6/6/2012,30.030001,32,29.82,31.530001,26.851303,8609400
6/7/2012,32.07,32.75,31.74,31.83,27.106777,7694300
6/8/2012,31.66,32.349998,31.51,32.119999,27.353745,4302100
6/11/2012,32.450001,33.049999,32.23,32.599998,27.762526,5999000
6/12/2012,32.560001,33.740002,32.490002,33.490002,28.52046,6809900
6/13/2012,33.27,33.490002,32.540001,32.77,27.907293,2876200
6/14/2012,32.77,33.639999,32.310001,33.529999,28.554525,4460000
6/15/2012,33.599998,34.91,33.380001,34.900002,29.721226,9892400
6/18/2012,34.380001,34.5,33.830002,33.860001,28.835554,4254400
6/19/2012,34.060001,34.529999,33.73,33.860001,28.835554,4873500
6/20/2012,33.790001,34.849998,33.48,34.66,29.516844,4628400
6/21/2012,34.700001,34.759998,33.060001,33.48,28.511942,3489900
6/22/2012,33.650002,34.709999,33.029999,34.16,29.091036,4359500
6/25/2012,33.689999,33.689999,32.759998,32.869999,27.99246,3518600
6/26/2012,32.810001,33.98,32.400002,32.580002,27.745493,3274700
6/27/2012,32.610001,33.400002,31.42,31.889999,27.157877,3615600
6/28/2012,31.540001,32.400002,31.290001,32.310001,27.515556,3115900
6/29/2012,32.779999,33.380001,32.650002,33.240002,28.307552,4599500
7/2/2012,33.59,34.32,33.369999,34,28.954786,3868500
7/3/2012,34.02,34.630001,33.830002,34.240002,29.159161,3647400
7/5/2012,33.830002,34.240002,33.540001,33.799999,28.784458,2711300
7/6/2012,33.400002,33.68,32.919998,33.369999,28.418261,1907800
7/9/2012,33.080002,33.759998,32.650002,33.25,28.316071,2264600
7/10/2012,33.470001,33.470001,32.5,32.68,27.830654,2972900
7/11/2012,32.66,33.639999,32.349998,33.48,28.511942,2583000
7/12/2012,33.150002,33.189999,32.549999,33.009998,28.111687,3505600
7/13/2012,33.610001,35.080002,33.509998,34.939999,29.755299,4801300
7/16/2012,34.689999,36.119999,34.560001,36.099998,30.743168,4895700
7/17/2012,36.16,36.799999,35.860001,36.689999,31.245611,3604100
7/18/2012,36.650002,37.669998,36.59,37.099998,31.594778,2839200
7/19/2012,36.919998,37,35.5,35.599998,30.481678,3758600
7/20/2012,35.18,35.439999,34.91,35.32,30.24193,3290000
7/23/2012,34.790001,35.279999,34.5,35.02,29.985067,3245900
7/24/2012,35.25,35.419998,34.610001,35.23,30.164875,2351600
7/25/2012,35.599998,35.889999,34.869999,35.400002,30.310438,3551300
7/26/2012,35.759998,36.060001,35.59,35.959999,30.789921,2951300
7/27/2012,36.23,36.91,35.900002,36.52,31.269402,6158600
7/30/2012,36.860001,37.650002,36.830002,37.650002,32.23695,2830300
7/31/2012,37.740002,38.360001,37.509998,37.599998,32.19413,6958400
8/1/2012,39.080002,40.18,37.779999,38.27,32.767799,6639700
8/2/2012,37.939999,39.07,37.84,38.299999,32.79348,4434800
