Date,Open,High,Low,Close,Adj Close,Volume
8/15/1997,36.0625,36.46875,34.90625,34.90625,19.785549,3296600
8/18/1997,34.90625,35.875,34.8125,35.8125,20.299227,3231800
8/19/1997,36.3125,37,36.125,37,20.972322,2896600
8/20/1997,36.875,37.96875,36.75,37.8125,21.432863,2636000
8/21/1997,37.8125,37.84375,37.0625,37.1875,21.078608,2247600
8/22/1997,36.53125,36.875,36.15625,36.875,20.90148,2339400
8/25/1997,36.75,37.625,36.71875,36.9375,20.936892,2644800
8/26/1997,36.625,37.78125,36.5,37.78125,21.415144,2816800
8/27/1997,38.4375,38.75,37.8125,38.75,21.96426,4795600
8/28/1997,38.75,39.625,38.125,39.125,22.176819,4684400
8/29/1997,39.15625,39.15625,38.09375,38.09375,21.592281,1774400
9/2/1997,38.1875,39.25,38.1875,39.09375,22.159105,2394600
9/3/1997,38.96875,39.09375,38.53125,38.65625,22.016769,2302600
9/4/1997,38,39.15625,38,38.6875,22.034571,2808800
9/5/1997,39,39.03125,38.15625,38.6875,22.034571,1913000
9/8/1997,39,39.1875,38.21875,38.21875,21.767593,1490000
9/9/1997,38.03125,38.875,37.96875,38.53125,21.94557,1736000
9/10/1997,38.5,40.0625,38.21875,39.125,22.283749,5092600
9/11/1997,38.8125,38.90625,38.25,38.625,21.998962,2491200
9/12/1997,38.9375,40.25,38.71875,40.25,22.924498,3279000
9/15/1997,39.9375,41.34375,39.875,40.71875,23.191475,3562400
9/16/1997,40.71875,41.21875,40.0625,40.875,23.280472,2862600
9/17/1997,41.1875,42.15625,41.125,41.25,23.494049,3614400
9/18/1997,41.4375,42.1875,41.3125,41.3125,23.52964,2162000
9/19/1997,41.3125,42,40.9375,41.875,23.850019,3216400
9/22/1997,42.03125,42.25,41.78125,42,23.921219,2004800
9/23/1997,42,42,40.75,41.46875,23.618652,2529600
9/24/1997,40.78125,41.1875,40.34375,40.375,22.995689,2807400
9/25/1997,40.5,41.4375,40.4375,40.71875,23.191475,2282200
9/26/1997,41.125,41.25,40.4375,41.15625,23.440653,1875000
9/29/1997,41.15625,41.8125,40.875,41.5,23.636427,1982200
9/30/1997,41.5,42.3125,41.15625,42.09375,23.974604,2396600
10/1/1997,42.25,43.125,42.25,43.09375,24.544161,4113000
10/2/1997,43,43.21875,42.875,43.125,24.56197,1860400
10/3/1997,43.25,43.625,42.875,43.59375,24.82893,3098200
10/6/1997,43.625,43.71875,42.9375,43.5,24.775543,2507400
10/7/1997,43.4375,43.90625,43.3125,43.84375,24.971333,3235600
10/8/1997,43.625,43.875,43.25,43.3125,24.668756,3358000
10/9/1997,43.34375,44.6875,43.3125,44.59375,25.398487,4581800
10/10/1997,44.125,44.6875,44.125,44.59375,25.398487,3461000
10/13/1997,44.6875,44.78125,43.375,43.46875,24.757742,2189400
10/14/1997,43.875,43.875,42.3125,42.9375,24.455166,4144400
10/15/1997,42.5,43.1875,42.34375,42.5,24.205986,2523200
10/16/1997,43,43.1875,41.5625,41.875,23.850019,2657800
10/17/1997,42.25,42.96875,41.15625,42.6875,24.312767,5699000
10/20/1997,42.6875,44.875,42.65625,44.75,25.487478,3556200
10/21/1997,44.625,46.125,44.375,46.125,26.270622,6290200
10/22/1997,46.0625,46.25,45.15625,45.5625,25.950251,2582800
10/23/1997,44.5,46.21875,44.5,45.90625,26.146025,3503600
10/24/1997,46.25,46.34375,44.90625,44.90625,25.576468,2489000
10/27/1997,44.9375,44.9375,39.6875,39.875,22.710918,3660800
10/28/1997,39,43.875,38.875,43.46875,24.757742,10725000
10/29/1997,43.6875,44.75,42.65625,42.96875,24.472975,4113600
10/30/1997,42.15625,45,42.15625,43.90625,25.006933,4483400
10/31/1997,44.5,44.90625,43.75,43.75,24.917925,3210800
11/3/1997,44.6875,45.21875,44.34375,45.21875,25.754454,3386600
11/4/1997,45.125,46.4375,44.875,46.375,26.412994,4015000
11/5/1997,46.5625,47.21875,46.3125,47.09375,26.822369,4177000
11/6/1997,47.09375,47.09375,46.34375,46.5,26.484205,2999200
11/7/1997,45.59375,46.25,44.75,45.125,25.701056,3345000
11/10/1997,45.625,46.28125,44.625,44.625,25.416288,2813600
11/11/1997,44.96875,45.15625,44.1875,44.34375,25.2561,2223400
11/12/1997,43.90625,45.375,43.5,43.59375,24.82893,2786200
11/13/1997,44.25,44.5,41.5,43,24.490763,5317200
11/14/1997,43.46875,43.9375,42.78125,43.125,24.56197,3562000
11/17/1997,43.75,44.59375,42.875,44.09375,25.11371,3859200
11/18/1997,44.53125,44.53125,41.625,41.8125,23.814419,5380200
11/19/1997,41.875,42.125,40.6875,41.125,23.422853,7091200
11/20/1997,41.9375,43.0625,41.53125,41.90625,23.867817,5969800
11/21/1997,42.0625,43.1875,41.8125,42.4375,24.170393,5002400
11/24/1997,42.375,42.6875,40.59375,40.8125,23.244871,3554000
11/25/1997,41,41.59375,40,40.875,23.280472,6629600
11/26/1997,40.875,41.3125,40.625,40.78125,23.227064,3791200
11/28/1997,41.25,41.5625,41.03125,41.15625,23.440653,871800
12/1/1997,41.15625,41.15625,38.9375,39.03125,22.230352,11421600
12/2/1997,39.5,40.5625,39.25,40.4375,23.031284,7908400
12/3/1997,41.21875,41.8125,40.65625,41.03125,23.369461,5419400
12/4/1997,41.1875,43,40.9375,41.25,23.494049,6613400
12/5/1997,41.4375,43.46875,41.4375,43.25,24.633152,4853200
12/8/1997,44.25,44.25,43.3125,43.75,24.917925,3186400
12/9/1997,43.78125,44.21875,42.6875,42.75,24.348383,4474600
12/10/1997,42.75,43.03125,41.9375,42.21875,24.045797,3811400
12/11/1997,41.96875,41.96875,40.3125,40.40625,23.013477,4559800
